[24 Sep 2020 09:36:57.887]  |void clearFilesTask() Method successfully executed within 10 milisecond.
[24 Sep 2020 09:37:01.746]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-24 09:37:01.746
[24 Sep 2020 09:37:01.816]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:95] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@1071bfa1,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-24 09:37:01.816
[24 Sep 2020 09:37:01.876]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 60 milisecond.
[24 Sep 2020 09:37:01.876]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@1071bfa1,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-24 09:37:01.876
[24 Sep 2020 09:37:01.876]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-24 09:37:01.876
[24 Sep 2020 09:37:01.936]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:169] called with [ Search...] at 2020-09-24 09:37:01.936
[24 Sep 2020 09:37:01.936]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:02.145]  |	 	 void loadMenu() Method successfully executed within 269 milisecond.
[24 Sep 2020 09:37:02.155]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-24 09:37:02.145
[24 Sep 2020 09:37:02.165]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:730] called with [all] at 2020-09-24 09:37:02.165
[24 Sep 2020 09:37:02.165]  |	 	 	 void showIssues(String state) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:02.165]  |	 	 void loadBugs() Method successfully executed within 20 milisecond.
[24 Sep 2020 09:37:02.165]  |	 void stateChanged(ChangeEvent arg0) Method successfully executed within 289 milisecond.
[24 Sep 2020 09:37:02.175]  |void ActionGUIInit(List tabs) Method successfully executed within 429 milisecond.
[24 Sep 2020 09:37:02.225]  |void setText(String text) Method from <init>[ToastMsg.java:29] called with [Please wait] at 2020-09-24 09:37:02.225
[24 Sep 2020 09:37:02.225]  |	 void setEndLocation(int x,int y) Method from setText[ToastMsg.java:37] called with [0, 0] at 2020-09-24 09:37:02.225
[24 Sep 2020 09:37:02.225]  |	 void setEndLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:02.235]  |void setText(String text) Method successfully executed within 10 milisecond.
[24 Sep 2020 09:37:02.235]  |void setLocation(int x,int y) Method from run[BugPanel.java:749] called with [908, 439] at 2020-09-24 09:37:02.235
[24 Sep 2020 09:37:02.235]  |void setLocation(int x,int y) Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:02.235]  |void showToast() Method from run[BugPanel.java:750] called with [] at 2020-09-24 09:37:02.235
[24 Sep 2020 09:37:02.245]  |void showToast() Method successfully executed within 0 milisecond.
[24 Sep 2020 09:37:02.245]  |StringBuilder HttpGet(String URL) Method from run[BugPanel.java:752] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues?state=all] at 2020-09-24 09:37:02.245
[24 Sep 2020 09:37:02.255]  |	 void terminationLogic() Method from run[ToastMsg.java:94] called with [] at 2020-09-24 09:37:02.255
[24 Sep 2020 09:37:02.415]  |	 StringBuilder HttpGet(String URL) Method successfully executed within 160 milisecond and returned  .
[24 Sep 2020 09:37:02.416]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method from <init>[PopUp.java:63] called with [ERROR, error, org.json.JSONException Occured. Please try again.

If still not resolved then 'Report a Bug' from Feature Menu., Ok, I understood, ] at 2020-09-24 09:37:02.416
[24 Sep 2020 09:37:02.456]  |	 void PopUpInit(String title,String PopUpType,String text,String OkButton_Text,String cancelButton_Text) Method successfully executed within 40 milisecond.
